bucket,lower,upper,count,valid_count,alternate_accuracy
"(-inf, 0]",,0.0,5,5,0.0
"(0, 1]",0.0,1.0,503,503,0.2664015904572565
"(1, 2]",1.0,2.0,528,528,0.3087121212121212
"(2, 3]",2.0,3.0,246,246,0.4959349593495935
"(3, 5]",3.0,5.0,0,0,0.0
"(5, 10]",5.0,10.0,0,0,0.0
"(10, inf)",10.0,,0,0,0.0
