threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.9847560975609756,0.05182926829268286,328,1.0,328
0.5,0.9847560975609756,0.05182926829268286,328,1.0,328
1.0,0.9847560975609756,0.05182926829268286,328,1.0,328
1.5,0.9847560975609756,0.05182926829268286,327,0.9969512195121951,328
2.0,0.9847560975609756,0.05182926829268286,327,0.9969512195121951,328
2.5,0.9847560975609756,0.05182926829268286,327,0.9969512195121951,328
3.0,0.9847560975609756,0.05182926829268286,327,0.9969512195121951,328
4.0,0.9847560975609756,0.05182926829268286,326,0.9939024390243902,328
5.0,0.9878048780487805,0.05487804878048774,324,0.9878048780487805,328
7.5,0.9908536585365854,0.05792682926829262,315,0.9603658536585366,328
10.0,0.9695121951219512,0.03658536585365846,267,0.8140243902439024,328
