bucket,lower,upper,count,valid_count,alternate_accuracy
"(-inf, 0]",,0.0,7,7,0.2857142857142857
"(0, 1]",0.0,1.0,157,157,0.2929936305732484
"(1, 2]",1.0,2.0,336,336,0.23511904761904762
"(2, 3]",2.0,3.0,272,272,0.4632352941176471
"(3, 5]",3.0,5.0,1,1,0.0
"(5, 10]",5.0,10.0,0,0,0.0
"(10, inf)",10.0,,0,0,0.0
