bucket,lower,upper,count,valid_count,alternate_accuracy
"(-inf, 0]",,0.0,0,0,0.0
"(0, 1]",0.0,1.0,14,14,0.2857142857142857
"(1, 2]",1.0,2.0,266,266,0.3383458646616541
"(2, 3]",2.0,3.0,48,48,0.3958333333333333
"(3, 5]",3.0,5.0,0,0,0.0
"(5, 10]",5.0,10.0,0,0,0.0
"(10, inf)",10.0,,0,0,0.0
