bucket,lower,upper,count,valid_count,alternate_accuracy
"(-inf, 0]",,0.0,0,0,0.0
"(0, 1]",0.0,1.0,0,0,0.0
"(1, 2]",1.0,2.0,1,1,1.0
"(2, 3]",2.0,3.0,0,0,0.0
"(3, 5]",3.0,5.0,3,3,0.3333333333333333
"(5, 10]",5.0,10.0,57,57,0.2631578947368421
"(10, inf)",10.0,,267,267,0.3595505617977528
