bucket,lower,upper,count,valid_count,alternate_accuracy
"(-inf, 0]",,0.0,0,0,0.0
"(0, 1]",0.0,1.0,13,13,0.23076923076923078
"(1, 2]",1.0,2.0,21,21,0.14285714285714285
"(2, 3]",2.0,3.0,14,14,0.2857142857142857
"(3, 5]",3.0,5.0,32,32,0.21875
"(5, 10]",5.0,10.0,79,79,0.3037974683544304
"(10, inf)",10.0,,1123,1123,0.29385574354407834
